Echter Wert,Vorhergesagt,Abweichung
14490,13500,990
6795,6995,-200
11342,12495,-1153
23991,22498,1493
20288,15990,4298
10991,10995,-4
5995,5995,0
8800,6995,1805
14995,14995,0
9717,10795,-1078
11288,12995,-1707
5590,8995,-3405
6790,7995,-1205
8495,7995,500
7998,6995,1003
21999,21490,509
7695,6995,700
21990,20995,995
9995,9995,0
20595,18995,1600
24990,23490,1500
6291,5995,296
21290,20995,295
23450,22498,952
8000,6995,1005
10995,12995,-2000
17995,16995,1000
23700,21490,2210
20766,20995,-229
6066,5995,71
7995,6995,1000
8095,7295,800
10488,10995,-507
7990,6995,995
17250,15990,1260
14995,11995,3000
10995,10995,0
10998,10995,3
7795,6995,800
7195,6995,200
19995,22995,-3000
8500,6995,1505
15475,12995,2480
9498,9995,-497
9998,9995,3
7998,6995,1003
9995,9995,0
13495,4849,8646
19795,21490,-1695
13995,12990,1005
17995,21790,-3795
10000,9995,5
13290,11795,1495
10995,11795,-800
8000,9995,-1995
11500,10995,505
14998,14995,3
19300,14995,4305
9995,10980,-985
15495,12998,2497
10500,11490,-990
10992,10995,-3
9295,7995,1300
11795,11490,305
8890,6995,1895
13000,12995,5
10995,10995,0
20497,21490,-993
12000,11995,5
10995,9995,1000
16495,21491,-4996
6698,6995,-297
13500,11995,1505
7995,6995,1000
7495,7495,0
9850,9995,-145
8395,7965,430
7348,6498,850
9680,6995,2685
7499,8995,-1496
22000,23490,-1490
22750,21490,1260
10995,10995,0
7500,6995,505
10490,9995,495
10590,9995,595
6300,4495,1805
10351,12495,-2144
9712,9995,-283
12500,11995,505
16000,12995,3005
8498,6995,1503
8498,7495,1003
19490,18995,495
12995,9995,3000
7700,6995,705
9495,8995,500
12995,13998,-1003
11995,10995,1000
10999,10495,504
7998,8995,-997
14990,12995,1995
7750,7495,255
13195,14995,-1800
9450,9995,-545
14999,12998,2001
11200,10995,205
5995,4495,1500
9250,9995,-745
11991,12995,-1004
10311,11995,-1684
12995,10995,2000
9391,9995,-604
21975,20995,980
6488,6995,-507
15995,22995,-7000
18995,14995,4000
12990,11995,995
6600,7995,-1395
9680,10995,-1315
8300,6995,1305
22990,21490,1500
14871,9491,5380
8250,6291,1959
6800,6995,-195
13200,12495,705
12200,12990,-790
24995,23990,1005
9395,8995,400
19398,20998,-1600
12990,13998,-1008
5799,6995,-1196
11998,12495,-497
9780,9995,-215
11290,11795,-505
13590,11795,1795
23440,21995,1445
9290,9995,-705
6250,4495,1755
24995,22990,2005
18495,19500,-1005
8995,6995,2000
9998,9995,3
6995,6995,0
6000,6995,-995
9895,10995,-1100
9965,9995,-30
8995,7495,1500
11695,11795,-100
8274,6995,1279
8900,9995,-1095
10995,9995,1000
10288,10995,-707
9995,10995,-1000
7000,6995,5
9995,9995,0
7998,6995,1003
14500,12995,1505
23500,23490,10
8250,6995,1255
15998,15990,8
7800,6995,805
8190,8995,-805
10201,10995,-794
5795,6995,-1200
7980,7995,-15
8250,6995,1255
12000,11995,5
11995,11995,0
20995,20995,0
8788,7995,793
6500,6995,-495
23500,21490,2010
8750,8995,-245
6895,7995,-1100
10785,10980,-195
15995,12990,3005
11295,10995,300
9990,9995,-5
8498,7998,500
10690,9995,695
7490,6995,495
6790,6995,-205
22691,21490,1201
21249,21490,-241
20790,18995,1795
8995,6995,2000
11495,10995,500
10999,11995,-996
7998,7995,3
9995,9995,0
7250,6995,255
14495,11995,2500
9498,9995,-497
13999,11995,2004
12495,11995,500
11298,11998,-700
12500,11498,1002
9995,12495,-2500
11873,11490,383
18950,17995,955
9495,9995,-500
6595,6995,-400
11895,9995,1900
19495,21491,-1996
22000,21995,5
8699,7995,704
8440,6498,1942
12329,11995,334
9995,7995,2000
9490,10495,-1005
10495,9995,500
20491,18995,1496
7295,6995,300
19998,21490,-1492
11599,11490,109
9200,7995,1205
11998,12998,-1000
9995,9995,0
17495,13998,3497
12995,12495,500
12498,11498,1000
8420,10995,-2575
8795,9995,-1200
18490,13998,4492
8995,7998,997
9225,7295,1930
19300,20995,-1695
11498,11795,-297
21000,21995,-995
12995,12995,0
21995,20995,1000
9499,8995,504
8432,6995,1437
8890,6995,1895
13350,12995,355
13988,15250,-1262
8295,7995,300
20998,18995,2003
6230,6498,-268
9999,11995,-1996
13595,14995,-1400
7290,6995,295
13850,15250,-1400
8995,8995,0
11995,9995,2000
22998,22498,500
17250,19500,-2250
13995,12990,1005
8495,6995,1500
4970,4199,771
11426,11995,-569
10290,9995,295
7292,7995,-703
9495,9995,-500
8398,9995,-1597
17991,15250,2741
18710,18995,-285
5230,4495,735
12500,11995,505
10995,10995,0
11990,12995,-1005
6995,6995,0
7450,6995,455
8495,7995,500
21491,21490,1
22226,21490,736
9998,12495,-2497
8690,7995,695
19698,22346,-2648
6695,6498,197
12882,12995,-113
7750,6995,755
10290,9995,295
8490,7995,495
7795,7995,-200
21790,21490,300
11650,9995,1655
8282,7995,287
9790,8490,1300
23995,23990,5
21995,22995,-1000
10378,10995,-617
9850,9995,-145
14998,13998,1000
13000,11995,1005
14995,15250,-255
10195,9995,200
14788,14995,-207
7901,7995,-94
10931,9995,936
7999,6995,1004
8389,7995,394
23690,23490,200
11995,11995,0
19862,22995,-3133
14750,13998,752
7498,6995,503
19461,20995,-1534
8500,6995,1505
14122,12995,1127
11995,12995,-1000
14495,17495,-3000
7998,6995,1003
11295,9950,1345
6080,8995,-2915
15694,14995,699
6550,6995,-445
11500,11795,-295
11995,10995,1000
10998,8995,2003
9650,7995,1655
9991,10495,-504
10584,8995,1589
17995,17995,0
12750,10995,1755
15450,13998,1452
5298,5995,-697
18990,15990,3000
7485,7498,-13
14295,12995,1300
9999,9995,4
8990,6275,2715
7900,6995,905
12390,11995,395
18500,22995,-4495
6595,7995,-1400
9495,9995,-500
8295,9995,-1700
14295,11995,2300
9995,9995,0
10247,9995,252
6995,7995,-1000
6290,6995,-705
7475,6622,853
8995,9995,-1000
11995,11995,0
18495,17495,1000
12000,11995,5
19990,15990,4000
8998,10495,-1497
8499,7495,1004
9498,9995,-497
22995,21491,1504
18995,17995,1000
15490,11995,3495
9995,12495,-2500
11000,11490,-490
10495,6995,3500
7250,6995,255
11990,12995,-1005
18700,15990,2710
8190,9495,-1305
12800,12990,-190
12995,11995,1000
23995,18995,5000
11645,10595,1050
12495,11995,500
6500,6995,-495
6270,6995,-725
18490,18498,-8
22498,20998,1500
9275,9995,-720
19495,20995,-1500
11995,10995,1000
7228,6995,233
11520,11995,-475
6400,5995,405
12000,12995,-995
10490,8995,1495
9169,9995,-826
18650,20995,-2345
13994,12995,999
8998,9995,-997
10995,11795,-800
10744,9995,749
8298,7995,303
20500,20995,-495
8776,7490,1286
9995,9995,0
12495,11995,500
19491,20995,-1504
7495,5995,1500
6390,6498,-108
12495,12995,-500
9495,9995,-500
8980,9995,-1015
15330,12990,2340
6995,7495,-500
17000,19500,-2500
7170,7995,-825
7695,6995,700
7995,6995,1000
5499,5998,-499
10250,9995,255
10200,9995,205
14495,14995,-500
9995,9995,0
20750,22995,-2245
16995,15990,1005
7998,8995,-997
7195,7495,-300
22450,21995,455
12000,21790,-9790
6200,5995,205
12300,11795,505
7990,6995,995
7000,6498,502
7800,6995,805
13998,14995,-997
9750,10495,-745
13465,12495,970
8275,7995,280
18290,15990,2300
8995,9995,-1000
9789,9995,-206
19965,20995,-1030
10990,12495,-1505
7995,6995,1000
10998,9995,1003
8495,9995,-1500
7295,6995,300
19901,20995,-1094
6500,6995,-495
13298,11998,1300
6795,6995,-200
19990,22346,-2356
11490,11795,-305
10995,10995,0
22995,22995,0
12171,11995,176
8795,9995,-1200
23895,22995,900
10572,11795,-1223
13000,13500,-500
10495,9995,500
15574,13998,1576
6999,8995,-1996
9940,10995,-1055
10995,10995,0
7288,6995,293
10995,12995,-2000
5610,5995,-385
8750,6995,1755
16499,13998,2501
7998,6995,1003
9490,9995,-505
13790,12990,800
22050,21490,560
9509,10995,-1486
6220,5995,225
20995,16995,4000
10795,9995,800
14775,12495,2280
15000,13998,1002
11495,11995,-500
17295,18995,-1700
8795,9995,-1200
12995,12990,5
6950,6995,-45
7500,9995,-2495
16500,15990,510
14817,14995,-178
15650,11292,4358
17498,20995,-3497
20499,21490,-991
12795,9995,2800
7698,6995,703
6540,6498,42
9490,9995,-505
8295,7965,330
9499,10995,-1496
8499,10995,-2496
7495,6995,500
6488,6995,-507
9490,9995,-505
10491,11795,-1304
20999,17995,3004
6795,6995,-200
8498,9995,-1497
8698,9995,-1297
9295,9495,-200
18795,18995,-200
9998,9995,3
13899,12995,904
7397,6995,402
12675,12995,-320
24998,22498,2500
9998,9392,606
9495,7995,1500
15570,16995,-1425
19995,18498,1497
21388,20995,393
22000,22995,-995
9498,9995,-497
12990,12995,-5
12476,11995,481
12495,11995,500
7495,7995,-500
10990,9995,995
18490,17995,495
8995,9995,-1000
10740,10980,-240
7880,6995,885
9995,6995,3000
8790,9995,-1205
6498,5995,503
14990,11995,2995
11795,8995,2800
9295,9995,-700
9195,10795,-1600
7195,6995,200
13881,7995,5886
9498,9995,-497
6899,6995,-96
7498,6995,503
6795,6995,-200
11998,12990,-992
11495,11490,5
15495,14995,500
11590,12495,-905
9245,9995,-750
7500,7995,-495
9495,9995,-500
13990,13999,-9
11795,7995,3800
6495,5995,500
7590,7995,-405
9295,9995,-700
8200,7495,705
11880,11795,85
11998,11995,3
13900,14995,-1095
17500,19500,-2000
9498,6291,3207
18995,15990,3005
22995,21995,1000
8298,8995,-697
11995,8995,3000
12750,11995,755
6990,5998,992
11495,9995,1500
16999,17495,-496
9694,9995,-301
7498,6995,503
21998,21490,508
24795,22498,2297
6795,4495,2300
5995,4495,1500
8995,8995,0
10740,10980,-240
6720,6995,-275
9990,9995,-5
15000,11998,3002
7795,6995,800
11790,11995,-205
19995,20995,-1000
6995,7995,-1000
8495,6995,1500
6850,6995,-145
12985,15250,-2265
15990,17495,-1505
7950,6995,955
10200,9995,205
13675,12495,1180
20991,20995,-4
10998,11490,-492
9995,9995,0
7299,5995,1304
5999,6995,-996
8295,7995,300
9995,10995,-1000
8475,6995,1480
20000,22995,-2995
19200,21995,-2795
12799,12495,304
15298,12998,2300
13495,14995,-1500
10298,9995,303
9995,7995,2000
13495,11995,1500
7995,7995,0
11800,10995,805
9998,10495,-497
9995,7295,2700
19999,17995,2004
21850,21490,360
10691,9995,696
24995,22498,2497
11995,11490,505
7249,5998,1251
8995,9995,-1000
11498,11795,-297
22195,20995,1200
8495,7995,500
11495,11498,-3
5390,4495,895
13969,11995,1974
20000,22995,-2995
11980,9995,1985
17400,16995,405
8990,6995,1995
19990,22995,-3005
12995,11498,1497
11995,11995,0
8375,7995,380
15995,12995,3000
23880,21995,1885
15885,15885,0
10660,11995,-1335
9195,9995,-800
10261,9995,266
7498,6995,503
22990,21490,1500
10495,9995,500
13490,12995,495
7099,7995,-896
9450,10795,-1345
7595,6995,600
9995,9995,0
20690,20995,-305
18995,20995,-2000
9350,9995,-645
8997,9995,-998
19500,21995,-2495
8700,9995,-1295
8208,7995,213
7851,7995,-144
14788,12990,1798
12495,11995,500
14999,11995,3004
24070,22995,1075
10125,9995,130
7250,6995,255
22995,21490,1505
6999,6995,4
9795,9995,-200
